,cz,year,pop,refugees
0,100.0,1994.0,431058.25925925927,22.85185185185185
1,200.0,1994.0,155600.96296296295,2.5925925925925926
2,301.0,1994.0,170524.44444444444,0.1111111111111111
3,302.0,1994.0,500940.18518518517,61.111111111111114
4,401.0,1994.0,420597.3703703704,12.88888888888889
5,402.0,1994.0,157659.40740740742,1.3333333333333333
6,500.0,1994.0,716190.8518518518,316.22222222222223
7,601.0,1994.0,104794.48148148147,0.4074074074074074
8,602.0,1994.0,71035.51851851853,0.5555555555555556
9,700.0,1994.0,411233.0740740741,37.592592592592595
10,800.0,1994.0,328312.18518518517,11.11111111111111
11,900.0,1994.0,939904.5925925926,334.25925925925924
12,1001.0,1994.0,73116.25925925926,0.2962962962962963
13,1002.0,1994.0,419007.85185185185,12.333333333333334
14,1100.0,1994.0,311514.81481481483,16.185185185185187
15,1201.0,1994.0,45346.92592592593,0.37037037037037035
16,1202.0,1994.0,98955.74074074074,0.2962962962962963
17,1203.0,1994.0,315156.5925925926,38.48148148148148
18,1204.0,1994.0,71835.81481481482,0.14814814814814814
19,1301.0,1994.0,69767.77777777778,0.0
20,1302.0,1994.0,432807.44444444444,2.4444444444444446
21,1400.0,1994.0,510647.0,10.25925925925926
22,1500.0,1994.0,298904.3703703704,2.3333333333333335
23,1600.0,1994.0,252413.88888888888,0.14814814814814814
24,1701.0,1994.0,1051716.2962962964,115.81481481481481
25,1702.0,1994.0,265999.77777777775,0.2962962962962963
26,1800.0,1994.0,179394.62962962964,3.3333333333333335
27,1900.0,1994.0,465313.44444444444,34.629629629629626
28,2000.0,1994.0,1152077.4444444445,51.111111111111114
29,2100.0,1994.0,119462.07407407407,0.6296296296296297
30,2200.0,1994.0,143679.2962962963,1.037037037037037
31,2300.0,1994.0,204522.07407407407,6.2592592592592595
32,2400.0,1994.0,762053.5185185185,396.51851851851853
33,2500.0,1994.0,443156.51851851854,48.18518518518518
34,2600.0,1994.0,349807.962962963,0.37037037037037035
35,2700.0,1994.0,335323.48148148146,31.925925925925927
36,2800.0,1994.0,106235.48148148147,0.3333333333333333
37,2900.0,1994.0,134149.11111111112,0.7407407407407407
38,3001.0,1994.0,103862.48148148147,0.0
