,cz,year,pop,refugees
0,100.0,1977.5,259839.66666666666,46.5
1,200.0,1977.5,159558.5,8.333333333333334
2,301.0,1977.5,93881.0,0.0
3,302.0,1977.5,327443.8333333333,51.0
4,401.0,1977.5,315568.5,33.666666666666664
5,402.0,1977.5,124503.0,6.666666666666667
6,500.0,1977.5,323426.6666666667,69.5
7,601.0,1977.5,113328.5,5.333333333333333
8,602.0,1977.5,89343.83333333333,1.3333333333333333
9,700.0,1977.5,430341.3333333333,34.166666666666664
10,800.0,1977.5,215189.5,19.166666666666668
11,900.0,1977.5,435231.8333333333,202.33333333333334
12,1001.0,1977.5,47685.333333333336,5.0
13,1002.0,1977.5,529893.8333333334,9.666666666666666
14,1100.0,1977.5,218971.16666666666,35.166666666666664
15,1201.0,1977.5,40342.5,0.6666666666666666
16,1202.0,1977.5,128318.66666666667,1.5
17,1203.0,1977.5,189898.5,26.166666666666668
18,1204.0,1977.5,115177.66666666667,2.3333333333333335
19,1301.0,1977.5,64738.333333333336,0.0
20,1302.0,1977.5,298186.8333333333,17.5
21,1400.0,1977.5,343588.0,75.83333333333333
22,1500.0,1977.5,228848.66666666666,14.333333333333334
23,1600.0,1977.5,240551.66666666666,3.6666666666666665
24,1701.0,1977.5,665155.5,120.16666666666667
25,1702.0,1977.5,296585.6666666667,0.16666666666666666
26,1800.0,1977.5,119438.33333333333,4.5
27,1900.0,1977.5,332794.5,13.0
28,2000.0,1977.5,1005111.5,92.66666666666667
29,2100.0,1977.5,100017.66666666667,4.833333333333333
30,2200.0,1977.5,133330.33333333334,4.666666666666667
31,2300.0,1977.5,161903.16666666666,31.5
32,2400.0,1977.5,649977.1666666666,231.16666666666666
33,2500.0,1977.5,284117.8333333333,64.5
34,2600.0,1977.5,469048.3333333333,3.1666666666666665
35,2700.0,1977.5,196819.5,73.16666666666667
36,2800.0,1977.5,91007.16666666667,1.6666666666666667
37,2900.0,1977.5,111866.33333333333,7.666666666666667
38,3001.0,1977.5,160691.5,1.0
39,3002.0,1977.5,225015.83333333334,1.8333333333333333
40,3003.0,1977.5,249174.66666666666,31.666666666666668
41,3101.0,1977.5,145073.0,4.0
42,3102.0,1977.5,70285.5,0.0
43,3201.0,1977.5,128511.0,3.8333333333333335
44,3202.0,1977.5,184279.5,4.166666666666667
45,3203.0,1977.5,174599.0,8.5
46,3300.0,1977.5,894181.6666666666,756.8333333333334
47,3400.0,1977.5,219117.5,48.5
48,3500.0,1977.5,753139.5,137.16666666666666
49,3600.0,1977.5,118276.33333333333,48.5
50,3700.0,1977.5,310231.5,28.166666666666668
51,3800.0,1977.5,587726.8333333334,120.33333333333333
52,3901.0,1977.5,451334.6666666667,30.166666666666668
53,3902.0,1977.5,60012.166666666664,2.6666666666666665
54,4001.0,1977.5,41851.333333333336,3.6666666666666665
55,4002.0,1977.5,245673.33333333334,85.16666666666667
56,4003.0,1977.5,139524.66666666666,6.0
57,4004.0,1977.5,12579.166666666666,0.0
58,4101.0,1977.5,53418.166666666664,7.0
59,4102.0,1977.5,171138.5,2.1666666666666665
60,4103.0,1977.5,119967.33333333333,9.0
61,4200.0,1977.5,426872.8333333333,176.0
62,4301.0,1977.5,55136.666666666664,2.8333333333333335
63,4302.0,1977.5,75050.0,8.666666666666666
64,4401.0,1977.5,225565.5,1.6666666666666667
65,4402.0,1977.5,77924.66666666667,7.5
66,4501.0,1977.5,98845.66666666667,0.0
67,4502.0,1977.5,70525.83333333333,0.5
68,4601.0,1977.5,75383.83333333333,3.6666666666666665
69,4602.0,1977.5,195935.0,0.3333333333333333
70,4701.0,1977.5,105101.16666666667,0.0
71,4702.0,1977.5,131606.16666666666,6.666666666666667
72,4800.0,1977.5,138477.33333333334,11.333333333333334
73,4901.0,1977.5,355161.1666666667,6.833333333333333
74,4902.0,1977.5,310107.1666666667,0.8333333333333334
75,4903.0,1977.5,89874.66666666667,1.3333333333333333
76,5000.0,1977.5,98494.83333333333,7.5
77,5100.0,1977.5,106367.16666666667,9.0
78,5201.0,1977.5,48113.5,0.0
79,5202.0,1977.5,402634.6666666667,187.66666666666666
80,5300.0,1977.5,120935.33333333333,10.833333333333334
81,5401.0,1977.5,212728.5,22.0
82,5402.0,1977.5,96159.83333333333,0.0
83,5500.0,1977.5,162352.66666666666,0.3333333333333333
84,5600.0,1977.5,470274.6666666667,280.1666666666667
85,5700.0,1977.5,68295.66666666667,11.333333333333334
86,5800.0,1977.5,138090.16666666666,3.5
87,5900.0,1977.5,728915.1666666666,6.0
88,6000.0,1977.5,387606.0,43.666666666666664
89,6100.0,1977.5,266649.3333333333,9.333333333333334
90,6200.0,1977.5,198884.16666666666,4.666666666666667
91,6301.0,1977.5,433933.8333333333,3.6666666666666665
92,6302.0,1977.5,49349.166666666664,5.0
93,6401.0,1977.5,220740.16666666666,64.33333333333333
94,6402.0,1977.5,104529.0,10.833333333333334
95,6501.0,1977.5,39933.166666666664,0.0
96,6502.0,1977.5,118105.83333333333,7.166666666666667
97,6600.0,1977.5,140223.83333333334,8.166666666666666
98,6700.0,1977.5,693539.5,304.6666666666667
99,6800.0,1977.5,507539.1666666667,53.833333333333336
100,6900.0,1977.5,389533.3333333333,56.0
101,7000.0,1977.5,370679.1666666667,37.166666666666664
102,7100.0,1977.5,471691.6666666667,68.0
103,7200.0,1977.5,97994.5,18.666666666666668
104,7300.0,1977.5,103391.16666666667,35.833333333333336
105,7400.0,1977.5,393469.0,242.83333333333334
106,7500.0,1977.5,211279.66666666666,40.5
107,7600.0,1977.5,2170970.3333333335,89.33333333333333
